Date,LHD,Rainfall,Tmean,Tmax,Tmin,Elevation,Floodwave,Salmonella,Population,Incidence
2014-03-01,Central Coast,101.8,21.22,23.7,19.06,44,2,22,330377,6.659059196
2014-04-01,Central Coast,55.2,19.19,21.58,17.11,44,1,10,330377,3.026845089
2014-05-01,Central Coast,13.8,17.08,20.05,14.47,44,0,10,330377,3.026845089
2014-06-01,Central Coast,26.5,14.54,17.15,12.38,44,0,10,330377,3.026845089
2014-07-01,Central Coast,16.2,13.07,16.62,10.31,44,0,8,330377,2.421476071
2014-08-01,Central Coast,101.4,13.31,15.75,10.95,44,5,7,330377,2.118791562
2014-09-01,Central Coast,37,15.55,18.91,12.53,44,0,14,330377,4.237583125
2014-10-01,Central Coast,66.8,18.37,22.28,14.97,44,3,9,330377,2.72416058
2014-11-01,Central Coast,37.9,20.29,23.99,17.32,44,0,16,330377,4.842952143
2014-12-01,Central Coast,142.4,21.45,24.5,18.98,44,4,24,330377,7.264428214
2015-01-01,Central Coast,125.4,22.48,25.2,20.3,44,1,25,333264,7.501560325
2015-02-01,Central Coast,60,21.99,24.21,20.07,44,0,23,333264,6.901435499
2015-03-01,Central Coast,85.1,21.07,24.07,18.85,44,0,15,333264,4.500936195
2015-04-01,Central Coast,369.3,18.1,20.64,15.89,44,10,11,333264,3.300686543
2015-05-01,Central Coast,52.4,15.85,18.37,13.61,44,4,13,333264,3.900811369
2015-06-01,Central Coast,57.3,13.93,16.35,11.79,44,3,4,333264,1.200249652
2015-07-01,Central Coast,28.7,11.91,14.89,9.34,44,0,3,333264,0.900187239
2015-08-01,Central Coast,53.7,13.71,17.09,10.79,44,0,2,333264,0.600124826
2015-09-01,Central Coast,56.2,15.02,18.05,12.19,44,0,9,333264,2.700561717
2015-10-01,Central Coast,54,19.74,23.5,16.74,44,0,6,333264,1.800374478
2015-11-01,Central Coast,78.3,20.46,23.95,17.57,44,0,9,333264,2.700561717
2015-12-01,Central Coast,86.7,21.1,24.37,18.29,44,1,11,333264,3.300686543
2016-01-01,Central Coast,311,22.06,25.06,19.42,44,8,16,336611,4.753261183
2016-02-01,Central Coast,23.7,22.81,25.54,20.47,44,0,13,336611,3.862024711
2016-03-01,Central Coast,43.4,21.88,24.67,19.67,44,0,23,336611,6.83281295
2016-04-01,Central Coast,42.5,20.01,22.66,17.76,44,0,14,336611,4.159103535
2016-05-01,Central Coast,16.2,17.22,20.77,14.24,44,0,17,336611,5.050340007
2016-06-01,Central Coast,156.6,14.26,16.61,12.15,44,5,16,336611,4.753261183
